Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
lblfire,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblice,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lbllightning,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblunholy,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
lblholy,UI,XUI Forge,,,Essence,,,,,,,,,,,,,,
 
reqSorceryLevel0,progression,Attribute,,,"Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryLevel20,progression,Attribute,,,"Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryLevel40,progression,Attribute,,,"Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryLevel60,progression,Attribute,,,"Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryLevel80,progression,Attribute,,,"Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryLevel100,progression,Attribute,,,"Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,
reqSorceryFireLevel0,progression,Attribute,,,"Fire Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryFireLevel20,progression,Attribute,,,"Fire Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryFireLevel40,progression,Attribute,,,"Fire Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryFireLevel60,progression,Attribute,,,"Fire Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryFireLevel80,progression,Attribute,,,"Fire Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryFireLevel100,progression,Attribute,,,"Fire Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,
reqSorceryIceLevel0,progression,Attribute,,,"Ice Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryIceLevel20,progression,Attribute,,,"Ice Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryIceLevel40,progression,Attribute,,,"Ice Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryIceLevel60,progression,Attribute,,,"Ice Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryIceLevel80,progression,Attribute,,,"Ice Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryIceLevel100,progression,Attribute,,,"Ice Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,
